symbol,metric,period_end,available_at,value
AAPL,net_income,2019-12-31,2020-02-20T21:00:00Z,22000000000.00
AAPL,net_income,2019-12-31,2020-04-15T21:00:00Z,21500000000.00
AAPL,net_income,2020-03-31,2020-05-15T21:00:00Z,11249000000.00
AAPL,net_income,2020-06-30,2020-08-15T21:00:00Z,11253000000.00
AAPL,net_income,2020-09-30,2020-11-15T21:00:00Z,12673000000.00
AAPL,net_income,2020-12-31,2021-02-15T21:00:00Z,28755000000.00
AAPL,net_income,2021-03-31,2021-05-15T21:00:00Z,23630000000.00
AAPL,net_income,2021-06-30,2021-08-15T21:00:00Z,21744000000.00
AAPL,net_income,2021-09-30,2021-11-15T21:00:00Z,20551000000.00
AAPL,net_income,2021-12-31,2022-02-15T21:00:00Z,34630000000.00
AAPL,net_income,2022-03-31,2022-05-15T21:00:00Z,25010000000.00
AAPL,net_income,2022-06-30,2022-08-15T21:00:00Z,19442000000.00
AAPL,net_income,2022-09-30,2022-11-15T21:00:00Z,20721000000.00
AAPL,net_income,2022-12-31,2023-02-15T21:00:00Z,29998000000.00
MSFT,net_income,2019-12-31,2020-02-10T21:00:00Z,11649000000.00
MSFT,net_income,2020-03-31,2020-05-10T21:00:00Z,10752000000.00
MSFT,net_income,2020-06-30,2020-08-10T21:00:00Z,11202000000.00
MSFT,net_income,2020-09-30,2020-11-10T21:00:00Z,13893000000.00
MSFT,net_income,2020-12-31,2021-02-10T21:00:00Z,15463000000.00
MSFT,net_income,2021-03-31,2021-05-10T21:00:00Z,15457000000.00
MSFT,net_income,2021-06-30,2021-08-10T21:00:00Z,16458000000.00
MSFT,net_income,2021-09-30,2021-11-10T21:00:00Z,20505000000.00
MSFT,net_income,2021-12-31,2022-02-10T21:00:00Z,18765000000.00
MSFT,net_income,2022-03-31,2022-05-10T21:00:00Z,16728000000.00
MSFT,net_income,2022-06-30,2022-08-10T21:00:00Z,16740000000.00
MSFT,net_income,2022-09-30,2022-11-10T21:00:00Z,17556000000.00
MSFT,net_income,2022-12-31,2023-02-10T21:00:00Z,16425000000.00
FB,net_income,2019-12-31,2020-02-12T21:00:00Z,7349000000.00
META,net_income,2022-06-30,2022-08-12T21:00:00Z,6687000000.00
