date,symbol,open,high,low,close,volume
2020-01-02,AAPL,150.00,155.00,149.00,152.00,50000000
2020-01-02,MSFT,250.00,255.00,248.00,252.00,30000000
2020-01-02,FB,200.00,205.00,198.00,202.00,20000000
2020-01-02,DELIST_CORP,25.00,26.00,24.00,25.50,500000
2020-01-02,SPY,400.00,405.00,398.00,402.00,70000000
2020-01-03,AAPL,150.00,155.00,149.00,152.00,50000000
2020-01-03,MSFT,250.00,255.00,248.00,252.00,30000000
2020-01-03,FB,200.00,205.00,198.00,202.00,20000000
2020-01-03,DELIST_CORP,25.00,26.00,24.00,25.50,500000
2020-01-03,SPY,400.00,405.00,398.00,402.00,70000000
2020-01-06,AAPL,150.00,155.00,149.00,152.00,50000000
2020-01-06,MSFT,250.00,255.00,248.00,252.00,30000000
2020-01-06,FB,200.00,205.00,198.00,202.00,20000000
2020-01-06,DELIST_CORP,25.00,26.00,24.00,25.50,500000
2020-01-06,SPY,400.00,405.00,398.00,402.00,70000000
2020-01-07,AAPL,150.00,155.00,149.00,152.00,50000000
2020-01-07,MSFT,250.00,255.00,248.00,252.00,30000000
2020-01-07,FB,200.00,205.00,198.00,202.00,20000000
2020-01-07,DELIST_CORP,25.00,26.00,24.00,25.50,500000
2020-01-07,SPY,400.00,405.00,398.00,402.00,70000000
2020-01-08,AAPL,150.00,155.00,149.00,152.00,50000000
2020-01-08,MSFT,250.00,255.00,248.00,252.00,30000000
2020-01-08,FB,200.00,205.00,198.00,202.00,20000000
2020-01-08,DELIST_CORP,25.00,26.00,24.00,25.50,500000
2020-01-08,SPY,400.00,405.00,398.00,402.00,70000000
2020-01-09,AAPL,150.00,155.00,149.00,152.00,50000000
2020-01-09,MSFT,250.00,255.00,248.00,252.00,30000000
2020-01-09,FB,200.00,205.00,198.00,202.00,20000000
2020-01-09,DELIST_CORP,25.00,26.00,24.00,25.50,500000
2020-01-09,SPY,400.00,405.00,398.00,402.00,70000000
2020-01-10,AAPL,150.00,155.00,149.00,152.00,50000000
2020-01-10,MSFT,250.00,255.00,248.00,252.00,30000000
